copy_id,book_id
1,1
2,1
3,1
4,1
5,2
6,3
7,4
8,4
9,4
10,4
11,4
12,5
13,5
14,5
15,6
16,6
17,6
18,6
19,6
20,6
21,6
22,6
23,6
24,6
25,7
26,7
27,7
28,7
29,8
30,8
31,8
32,8
33,8
34,8
35,8
36,8
37,9
38,9
39,9
40,9
41,9
42,9
43,10
44,11
45,12
46,12
47,12
48,12
49,12
50,12
51,13
52,13
53,13
54,13
55,13
56,13
57,13
58,14
59,14
60,14
61,14
62,14
63,14
64,15
65,15
66,15
67,15
68,15
69,15
70,15
71,16
72,17
73,17
74,17
75,17
76,17
77,17
78,17
79,18
80,18
81,18
82,18
83,18
84,18
85,18
86,18
87,18
88,18
89,19
90,19
91,19
92,19
93,19
94,19
95,19
96,19
97,19
98,19
99,20
100,20
101,20
102,20
103,20
104,21
105,21
106,21
107,21
108,21
109,21
110,22
111,22
112,22
113,22
114,22
115,22
116,22
117,22
118,22
119,22
120,23
121,23
122,23
123,23
124,24
125,24
126,24
127,25
128,25
129,25
130,25
131,25
132,26
133,26
134,26
135,26
136,27
137,27
138,27
139,27
140,27
141,27
142,27
143,28
144,28
145,28
146,29
147,29
148,29
149,29
150,29
151,29
152,29
153,29
154,30
155,31
156,31
157,31
158,31
159,32
160,32
161,32
162,32
163,32
164,32
165,32
166,32
167,32
168,33
169,33
170,33
171,34
172,34
173,34
174,34
175,34
176,34
177,34
178,34
179,34
180,35
181,35
182,35
183,36
184,37
185,37
186,37
187,37
188,37
189,37
190,38
191,38
192,38
193,38
194,38
195,38
196,39
197,39
198,39
199,39
200,40
201,40
202,40
203,40
204,40
205,40
206,40
207,40
208,40
209,40
210,41
211,41
212,41
213,41
214,41
215,41
216,42
217,42
218,42
219,42
220,42
221,43
222,43
223,44
224,44
225,44
226,44
227,44
228,44
229,44
230,44
231,44
232,45
233,45
234,45
235,46
236,46
237,46
238,46
239,46
240,46
241,46
242,46
243,46
244,47
245,47
246,47
247,47
248,47
249,47
250,47
251,47
252,48
253,48
254,48
255,48
256,48
257,48
258,48
259,48
260,48
261,48
262,49
263,49
264,49
265,49
266,49
267,49
268,49
269,49
270,49
271,49
272,50
273,50
274,50
275,50
276,50
277,50
278,50
279,50
280,51
281,51
282,51
283,51
284,51
285,51
286,51
287,51
288,51
289,52
290,52
291,52
292,52
293,52
294,53
295,54
296,54
297,54
298,54
299,54
300,55
301,55
302,55
303,55
304,55
305,55
306,55
307,55
308,55
309,56
310,57
311,57
312,57
313,58
314,58
315,59
316,59
317,59
318,59
319,59
320,59
321,59
322,60
323,60
324,60
325,60
326,61
327,61
328,61
329,61
330,61
331,62
332,62
333,62
334,62
335,62
336,63
337,63
338,63
339,63
340,63
341,63
342,63
343,63
344,64
345,64
346,64
347,64
348,65
349,65
350,65
351,65
352,65
353,66
354,66
355,66
356,66
357,66
358,66
359,66
360,66
361,66
362,67
363,67
364,67
365,67
366,67
367,68
368,68
369,68
370,68
371,68
372,68
373,68
374,68
375,68
376,68
377,69
378,69
379,70
380,70
381,70
382,70
383,71
384,71
385,71
386,71
387,71
388,71
389,72
390,72
391,72
392,72
393,72
394,72
395,72
396,72
397,72
398,72
399,73
400,73
401,73
402,73
403,74
404,74
405,75
406,75
407,75
408,76
409,76
410,76
411,76
412,77
413,77
414,77
415,77
416,78
417,78
418,78
419,78
420,79
421,79
422,79
423,79
424,79
425,79
426,79
427,79
428,79
429,80
430,80
431,80
432,80
433,80
434,81
435,81
436,82
437,82
438,83
439,83
440,83
441,83
442,84
443,84
444,84
445,84
446,84
447,84
448,85
449,85
450,85
451,86
452,86
453,86
454,86
455,86
456,86
457,86
458,86
459,86
460,86
461,87
462,87
463,87
464,87
465,87
466,88
467,88
468,88
469,88
470,88
471,88
472,88
473,88
474,88
475,89
476,89
477,89
478,89
479,89
480,89
481,90
482,90
483,90
484,90
485,90
486,90
487,90
488,91
489,91
490,91
491,92
492,92
493,92
494,93
495,93
496,93
497,93
498,93
499,93
500,93
501,93
502,94
503,94
504,95
505,95
506,95
507,95
508,95
509,95
510,95
511,95
512,96
513,96
514,96
515,96
516,96
517,96
518,96
519,96
520,96
521,96
522,97
523,97
524,97
525,97
526,97
527,97
528,98
529,98
530,98
531,98
532,98
533,98
534,98
535,98
536,98
537,98
538,99
539,99
540,99
541,99
542,99
543,99
544,99
545,100
546,100
547,100
548,100
549,100
550,100
551,100
552,100
553,100
554,101
555,101
556,101
557,101
558,101
559,101
560,101
561,102
562,102
563,103
564,103
565,103
566,103
567,103
568,103
569,103
570,104
571,104
572,104
573,104
574,104
575,104
576,104
577,104
578,104
579,104
580,105
581,105
582,105
583,105
584,105
585,105
586,105
587,105
588,106
589,106
590,106
591,106
592,106
593,106
594,106
595,106
596,106
597,106
598,107
599,107
600,107
601,107
